CountyId,State_x,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,ConstCarpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,FIPS,State_y
48097,Texas,Cooke County,39064,19358,19706,17.3,76.4,2.5,0.7,0.9,0.2,27204,60027,2476,29067,1064,13.9,24.7,29.2,20.4,21.6,11,17.8,76.8,15.7,0.1,1.6,1.2,4.6,25.5,18724,77.5,14.9,7.3,0.2,5.2,48097,TX
48099,Texas,Coryell County,75818,37921,37897,17.8,59.5,13.7,0.6,1.8,0.7,55434,50865,1533,21171,1082,13.3,18.9,29.8,23.8,25.1,12.6,8.8,72.8,12.8,0.4,7.3,2.2,4.5,22,23306,62,31.8,6.1,0.1,9.9,48099,TX
48101,Texas,Cottle County,1498,758,740,32.7,53.6,10.2,0.3,0,0,1061,33534,5773,20566,2966,24.5,35.8,26,29.2,17.7,22.3,4.9,69.5,17.5,0.3,8.2,3,1.6,15.2,651,61.6,24.6,13.4,0.5,10.7,48101,TX
48103,Texas,Crane County,4836,2515,2321,62.8,32.9,4.2,0.1,0,0,2746,63935,9605,24582,1869,11.8,16.6,19.1,16.7,16.1,27.2,20.9,78.5,17.3,1.7,0.8,1.4,0.4,28.5,2023,84,13.2,2.8,0,2.6,48103,TX
48105,Texas,Crockett County,3836,1903,1933,66.1,33,0.9,0,0,0,2618,52310,7773,23296,3356,20.9,39.8,26.4,17,19.1,24.5,13,80,16.5,0,0,0,3.5,22.3,1733,66.9,19.2,13.8,0,2.4,48105,TX
48107,Texas,Crosby County,5895,2918,2977,55.4,40,3.7,0,0,0,4174,38674,2969,20057,1734,20.8,29.7,30,18.4,21.5,19.2,10.9,85.2,7.9,0,2.2,3.5,1.3,21.6,2519,72.1,19.7,7.9,0.2,7.7,48107,TX
48109,Texas,Culberson County,2257,1162,1095,80.7,17.4,0.4,0,0.3,0,1587,33125,11492,16763,2601,29.4,47.3,19.3,36,17.9,19.7,7.1,78,11.6,0,2.6,4.6,3.2,12.5,974,73.4,18.8,7.8,0,5.3,48109,TX
48111,Texas,Dallam County,7207,3880,3327,43.8,51.2,1.7,1.2,0.9,0,4139,45580,8818,25221,4782,15.9,24.6,20.9,25,14.3,21,18.8,83.9,11,0.4,1.8,0.6,2.3,13.5,3501,77.5,10.9,11.4,0.1,3.7,48111,TX
48113,Texas,Dallas County,2552213,1257751,1294462,39.6,30.2,22.1,0.2,6,0,1473599,53626,437,29810,247,17.7,27.1,34,17.7,24.1,11.5,12.8,78.4,11,2.8,1.5,2,4.3,27.2,1252101,84.3,9.1,6.4,0.2,5.9,48113,TX
48115,Texas,Dawson County,13095,7274,5821,56.4,36.3,5.7,0.4,0.9,0,9223,43201,4374,21360,1861,18.5,20.4,25,17,21.8,19.3,16.8,77.8,16.5,0.3,2.3,0.3,2.9,16.6,4968,70.4,20.1,9.3,0.3,6.7,48115,TX
